letter,language,coverage,title,id,file
M,"Marathi",Full Bible,"इंडियन रीवाइज्ड वर्जन (IRV) - मराठी",mar,M/Marathi/Full Bible — इंडियन रीवाइज्ड वर्जन (IRV) - मराठी.html
Y,"Yorùbá",Full Bible,"Biblica® ní oore ọ̀fẹ́ láti lo Bíbélì Mímọ́ ní Èdè Yorùbá Òde-Òní",yor,Y/Yorùbá/Full Bible — Biblica® ní oore ọ̀fẹ́ láti lo Bíbélì Mímọ́ ní Èdè Yorùbá Òde-Òní.html
E,"English",Full Bible,"Berean Standard Bible",engbsb,E/English/Full Bible — Berean Standard Bible.html
U,"Ukrainian",Full Bible,"Біблія в пер. П.Куліша та І.Пулюя, 1905",ukr1871,U/Ukrainian/Full Bible — Біблія в пер. П.Куліша та І.Пулюя, 1905.html
U,"Ukrainian",Full Bible,"Біблія",ukr1996,U/Ukrainian/Full Bible — Біблія.html
U,"Ukrainian",Full Bible,"Біблія свободи",ukrfb,U/Ukrainian/Full Bible — Біблія свободи.html
M,"Malagasy, Tandroy-Mahafaly",Full Bible,"Saontsin’ Añahare",tdx,M/Malagasy, Tandroy-Mahafaly/Full Bible — Saontsin’ Añahare.html
S,"Spanish",Full Bible,"Palabra de Dios para ti",spapddpt,S/Spanish/Full Bible — Palabra de Dios para ti.html
#,"मराठी",Full Bible,"Biblica® मराठी समकालीन स्वतंत्र संस्करण",marc,#/मराठी/Full Bible — Biblica® मराठी समकालीन स्वतंत्र संस्करण.html
C,"Chin, Eastern Khumi",Full Bible,"Asang Khongca Bible (2019)",cekak,C/Chin, Eastern Khumi/Full Bible — Asang Khongca Bible (2019).html
A,"Azerbaijani, South",Full Bible,"Azərbaycan dilində Müqəddəs Kitab",azb,A/Azerbaijani, South/Full Bible — Azərbaycan dilində Müqəddəs Kitab.html
H,"Huichol",Full Bible,"KAKAƗYARI NIUKIEYA XAPAYARI WIXARIKAKƗ",hch,H/Huichol/Full Bible — KAKAƗYARI NIUKIEYA XAPAYARI WIXARIKAKƗ.html
G,"gujii",Full Bible,"Kitaaba Woyyuu",gax,G/gujii/Full Bible — Kitaaba Woyyuu.html
T,"Turkish",Full Bible,"Yorumsuz Türkçe Çeviri (YTC)",turytc,T/Turkish/Full Bible — Yorumsuz Türkçe Çeviri (YTC).html
C,"Chin, Thado",Full Bible,"PATHEN LEKHABU THENG",tczchongthu,C/Chin, Thado/Full Bible — PATHEN LEKHABU THENG.html
T,"Tibetan",Full Bible,"དམ་པའི་གསུང་རབ་བོད་འགྱུར་གསར་མ།",bodn,T/Tibetan/Full Bible — དམ་པའི་གསུང་རབ་བོད་འགྱུར་གསར་མ།.html
R,"Romanian",Full Bible,"Библия Думитру Корнилеску 1924 (БДК)",ron1924,R/Romanian/Full Bible — Библия Думитру Корнилеску 1924 (БДК).html
K,"Kannada",Full Bible,"ಇಂಡಿಯನ್ ರಿವೈಜ್ಡ್ ವರ್ಸನ್ (IRV) - ಕನ್ನಡ - 2019",kanirv,K/Kannada/Full Bible — ಇಂಡಿಯನ್ ರಿವೈಜ್ಡ್ ವರ್ಸನ್ (IRV) - ಕನ್ನಡ - 2019.html
C,"Chinese",Full Bible,"新标点和合本",cmn-cu89s,C/Chinese/Full Bible — 新标点和合本.html
C,"Chinese",Full Bible,"新標點和合本",cmn-cu89t,C/Chinese/Full Bible — 新標點和合本.html
